model,problem_index,gsm8k_index,baseline_truth,high_scale_truth,delta,within_problem_auc
Llama-3-8B-Instruct,92,895,0.985375,1.0,0.014624999999999999,1.0
Llama-3-8B-Instruct,93,950,0.35562499999999997,1.0,0.644375,1.0
Llama-3-8B-Instruct,94,951,0.21812499999999999,0.0,-0.21812499999999999,0.1440447641886491
Llama-3-8B-Instruct,95,953,0.14725,1.0,0.85275,1.0
Llama-3-8B-Instruct,96,958,0.13724999999999998,0.0,-0.13724999999999998,0.18690234714575482
Llama-3-8B-Instruct,97,961,0.948125,1.0,0.051875000000000004,1.0
Llama-3-8B-Instruct,98,970,0.999625,1.0,0.0003750000000000142,1.0
Llama-3-8B-Instruct,99,997,0.32149999999999995,0.0,-0.32149999999999995,0.2668004148181597
Llama-3-8B-Instruct,100,1000,0.921125,1.0,0.07887500000000003,1.0
Llama-3-8B-Instruct,101,1017,0.314,0.0,-0.314,0.09748542274052474
Llama-3-8B-Instruct,102,1019,0.38187499999999996,1.0,0.618125,1.0
Llama-3-8B-Instruct,103,1026,0.71,1.0,0.29000000000000004,1.0
Llama-3-8B-Instruct,104,1034,0.975875,1.0,0.024124999999999952,0.9996973620724326
Llama-3-8B-Instruct,105,1044,0.7811250000000001,1.0,0.21887499999999993,1.0
Llama-3-8B-Instruct,106,1047,0.17725000000000002,0.0,-0.17725000000000002,0.2578243694925555
Llama-3-8B-Instruct,107,1050,0.66625,1.0,0.33375,1.0
Llama-3-8B-Instruct,108,1082,0.463125,1.0,0.536875,1.0
Llama-3-8B-Instruct,109,1090,0.925625,1.0,0.07437499999999997,1.0
Llama-3-8B-Instruct,110,1121,0.99525,1.0,0.004750000000000032,1.0
Llama-3-8B-Instruct,111,1124,0.2795,0.0,-0.2795,0.5544760582928522
Llama-3-8B-Instruct,112,1127,0.9982500000000001,1.0,0.0017499999999999183,0.9998837250903366
Llama-3-8B-Instruct,113,1132,0.5705,1.0,0.4295,0.9753947607382368
Llama-3-8B-Instruct,114,1144,0.7935,1.0,0.20650000000000002,0.9999999999999999
Llama-3-8B-Instruct,115,1152,0.873375,0.9995685315691069,0.12619353156910684,0.9940998167376417
Llama-3-8B-Instruct,116,1153,0.71375,1.0,0.28625,1.0
Llama-3-8B-Instruct,117,1154,0.997125,1.0,0.002874999999999961,0.9996893241983746
Llama-3-8B-Instruct,118,1243,0.9725,1.0,0.02749999999999997,0.9996529562982004
Llama-3-8B-Instruct,119,1264,0.516625,1.0,0.483375,1.0
Llama-3-8B-Instruct,120,1267,0.204,0.0,-0.204,0.005339195979899514
Llama-3-8B-Instruct,121,1273,0.756,1.0,0.244,0.9998734932696894
Llama-3-8B-Instruct,122,1278,0.996875,1.0,0.0031250000000000444,1.0
Llama-3-8B-Instruct,123,1283,0.90925,1.0,0.09075,1.0
Llama-3-8B-Instruct,124,1290,0.966125,1.0,0.03387499999999999,1.0
Llama-3-8B-Instruct,125,1312,0.7715000000000001,1.0,0.22849999999999993,0.9792685804175275
Llama-3-8B-Instruct,126,1315,0.884875,1.0,0.11512500000000003,1.0
Llama-3-70B-Instruct,0,17,0.998625,1.0,0.001375000000000015,1.0
Llama-3-70B-Instruct,1,43,0.935875,1.0,0.06412499999999999,1.0
Llama-3-70B-Instruct,2,51,1.0,1.0,0.0,nan
Llama-3-70B-Instruct,3,64,0.8552500000000001,1.0,0.14474999999999993,1.0
Llama-3-70B-Instruct,4,65,0.9335,1.0,0.0665,1.0
Llama-3-70B-Instruct,5,69,1.0,1.0,0.0,nan
Llama-3-70B-Instruct,6,70,0.993125,1.0,0.0068749999999999645,0.9989564620401625
Llama-3-70B-Instruct,7,74,0.986125,1.0,0.01387499999999997,0.9999194910463766
Llama-3-70B-Instruct,8,81,0.999375,1.0,0.0006249999999999867,1.0
Llama-3-70B-Instruct,9,86,0.99975,1.0,0.00024999999999997247,1.0
Llama-3-70B-Instruct,10,89,0.688625,1.0,0.31137499999999996,1.0
Llama-3-70B-Instruct,11,91,1.0,1.0,0.0,nan
Llama-3-70B-Instruct,12,95,0.995625,1.0,0.004375000000000018,1.0
Llama-3-70B-Instruct,13,120,1.0,1.0,0.0,nan
Llama-3-70B-Instruct,14,123,0.9995,1.0,0.0004999999999999449,1.0
Llama-3-70B-Instruct,15,127,1.0,1.0,0.0,nan
