model,design,target_N,label_budget,replicates,target_truth,expected_estimand,absolute_bias,theoretical_bias_bound,median_absolute_error,q95_absolute_error,rmse,maximum_importance_weighted_outcome
Llama-3-70B,top-5% rank audit,100,50,5000,0.788444528273,0.788408132834,3.63954389003e-05,0.00592052922033,0.0407062232138,0.120706217964,0.0623095841727,3.16983829363
Llama-3-70B,top-5% rank audit,100,100,5000,0.788444528273,0.788408132834,3.63954389003e-05,0.00592052922033,0.0292937366455,0.0854072387316,0.0435335631126,3.16983829363
Llama-3-70B,top-5% rank audit,100,250,5000,0.788444528273,0.788408132834,3.63954389003e-05,0.00592052922033,0.0188303238145,0.053946741347,0.0276654714976,3.16983829363
Llama-3-70B,top-5% rank audit,100,500,5000,0.788444528273,0.788408132834,3.63954389003e-05,0.00592052922033,0.0131243149771,0.0381039367181,0.0193870071049,3.16983829363
Llama-3-70B,top-5% rank audit,100,1000,5000,0.788444528273,0.788408132834,3.63954389003e-05,0.00592052922033,0.00910806079106,0.0266341536771,0.0137310398582,3.16983829363
Llama-3-70B,top-5% rank audit,100,2000,5000,0.788444528273,0.788408132834,3.63954389003e-05,0.00592052922033,0.00657605587666,0.0190683137963,0.0098619843609,3.16983829363
Llama-3-70B,top-5% rank audit,100,5000,5000,0.788444528273,0.788408132834,3.63954389003e-05,0.00592052922033,0.00417747491866,0.0122506302987,0.00617576058354,3.16983829363
Llama-3-70B,deployment winners,100,25,5000,0.788444528273,0.788444528273,0,0,0.0515554717271,0.148444528273,0.0828990636769,1
Llama-3-70B,deployment winners,100,50,5000,0.788444528273,0.788444528273,0,0,0.0315554717271,0.111555471727,0.0578561010697,1
Llama-3-70B,deployment winners,100,100,5000,0.788444528273,0.788444528273,0,0,0.0284445282729,0.0815554717271,0.040983755007,1
Llama-3-70B,deployment winners,100,250,5000,0.788444528273,0.788444528273,0,0,0.0164445282729,0.0515554717271,0.0255398232104,1
Llama-3-70B,deployment winners,100,500,5000,0.788444528273,0.788444528273,0,0,0.0124445282729,0.0355554717271,0.0182108364659,1
Llama-3-70B,deployment winners,100,1000,5000,0.788444528273,0.788444528273,0,0,0.00855547172707,0.0245554717271,0.0128326708572,1
Llama-3-70B,deployment winners,100,2000,5000,0.788444528273,0.788444528273,0,0,0.00605547172707,0.0179500754456,0.00923110853039,1
Llama-3-70B,deployment winners,100,5000,5000,0.788444528273,0.788444528273,0,0,0.00384452827293,0.0112500754456,0.00574417450806,1
